date,open,high,low,close,volume,daily_change
2024-04-19,166.21,166.4,164.075,165.0,67458928,-1.210000000000008
2024-04-18,168.03,168.64,166.55,167.04,43122903,-0.9900000000000091
2024-04-17,169.61,170.65,168.0,168.0,50901210,-1.6100000000000136
2024-04-16,171.75,173.76,168.27,169.38,73711235,-2.3700000000000045
2024-04-15,175.36,176.63,172.5,172.69,73531773,-2.670000000000016
2024-04-12,174.26,178.36,174.21,176.55,101670886,2.2900000000000205
2024-04-11,168.34,175.46,168.16,175.04,91070275,6.699999999999989
2024-04-10,168.8,169.09,167.11,167.78,49709336,-1.0200000000000102
2024-04-09,168.7,170.08,168.35,169.67,42231444,0.9699999999999989
2024-04-08,169.03,169.2,168.24,168.45,37216858,-0.5800000000000125
2024-04-05,169.59,170.39,168.95,169.58,41975776,-0.009999999999990905
2024-04-04,170.29,171.92,168.82,168.82,53355055,-1.4699999999999989
2024-04-03,168.79,170.68,168.58,169.65,45571129,0.8600000000000136
2024-04-02,169.08,169.34,168.2302,168.84,49013991,-0.2400000000000091
2024-04-01,171.19,171.25,169.475,170.03,43772506,-1.1599999999999966
2024-03-28,171.75,172.23,170.51,171.48,65672690,-0.27000000000001023
2024-03-27,170.41,173.6,170.11,173.31,60273265,2.9000000000000057
2024-03-26,170.0,171.42,169.58,169.71,57388449,-0.28999999999999204
2024-03-25,170.565,171.94,169.45,170.85,54288328,0.2849999999999966
2024-03-22,171.76,173.05,170.06,172.28,71160138,0.5200000000000102
2024-03-21,177.05,177.49,170.84,171.37,106181270,-5.680000000000007
2024-03-20,175.72,178.67,175.09,178.67,53423102,2.9499999999999886
2024-03-19,174.34,176.605,173.03,176.08,55215244,1.740000000000009
2024-03-18,175.57,177.71,173.52,173.72,75604184,-1.8499999999999943
2024-03-15,171.17,172.62,170.285,172.62,121752699,1.450000000000017
2024-03-14,172.91,174.3078,172.05,173.0,72571635,0.09000000000000341
2024-03-13,172.77,173.185,170.76,171.13,51948951,-1.6400000000000148
2024-03-12,173.15,174.03,171.01,173.23,59544927,0.07999999999998408
2024-03-11,172.94,174.38,172.05,172.75,58929918,-0.18999999999999773
2024-03-08,169.0,173.7,168.94,170.73,76267041,1.7299999999999898
2024-03-07,169.15,170.73,168.49,169.0,71765061,-0.15000000000000568
2024-03-06,171.06,171.24,168.68,169.12,68587707,-1.9399999999999977
2024-03-05,170.76,172.04,169.62,170.12,95132355,-0.6399999999999864
2024-03-04,176.15,176.9,173.79,175.1,81510101,-1.0500000000000114
2024-03-01,179.55,180.53,177.38,179.66,73563082,0.10999999999998522
2024-02-29,181.27,182.57,179.53,180.75,136682597,-0.5200000000000102
2024-02-28,182.51,183.12,180.13,181.42,48953939,-1.0900000000000034
2024-02-27,181.1,183.9225,179.56,182.63,54318851,1.5300000000000011
2024-02-26,182.24,182.76,180.65,181.16,40867421,-1.0800000000000125
2024-02-23,185.01,185.04,182.23,182.52,45119677,-2.4899999999999807
2024-02-22,183.48,184.955,182.46,184.37,52292208,0.8900000000000148
2024-02-21,181.94,182.8888,180.66,182.32,41529674,0.37999999999999545
2024-02-20,181.79,182.43,180.0,181.56,53665553,-0.22999999999998977
2024-02-16,183.42,184.85,181.665,182.31,49752465,-1.1099999999999852
2024-02-15,183.55,184.49,181.35,183.86,65434496,0.3100000000000023
2024-02-14,185.32,185.53,182.44,184.15,54630517,-1.1699999999999875
2024-02-13,185.77,186.21,183.5128,185.04,56529529,-0.7300000000000182
2024-02-12,188.415,188.67,186.79,187.15,41781934,-1.2649999999999864
2024-02-09,188.65,189.99,188.0,188.85,45155216,0.19999999999998863
2024-02-08,189.385,189.535,187.35,188.32,40962046,-1.0649999999999977
2024-02-07,190.64,191.05,188.61,189.41,53438955,-1.2299999999999898
2024-02-06,186.86,189.31,186.7695,189.3,43490759,2.4399999999999977
2024-02-05,188.15,189.25,185.84,187.68,69668820,-0.46999999999999886
2024-02-02,179.86,187.33,179.25,185.85,102551680,5.989999999999981
2024-02-01,183.985,186.95,183.82,186.86,64885408,2.875
2024-01-31,187.04,187.095,184.35,184.4,55467803,-2.6399999999999864
2024-01-30,190.94,191.8,187.47,188.04,55859370,-2.9000000000000057
2024-01-29,192.01,192.2,189.58,191.73,47145622,-0.28000000000000114
2024-01-26,194.27,194.76,191.94,192.42,44594011,-1.8500000000000227
2024-01-25,195.22,196.2675,193.1125,194.17,54822126,-1.0500000000000114
2024-01-24,195.42,196.38,194.34,194.5,53463269,-0.9199999999999875
